0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,-5.488184452056885,-8.666780471801758,-15.974588394165039,-11.402633666992188
2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,-9.156671524047852,-12.302555084228516,-11.321981430053711,-8.009523391723633
2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,-5.724873065948486,-8.577115058898926,-14.02891731262207,-11.768962860107422
2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-9.824126243591309,-13.426290512084961,-11.285623550415039,-7.808208465576172
2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-4.5291314125061035,-8.14055061340332,-14.915407180786133,-11.832008361816406
2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-8.680987358093262,-15.0,-11.582297325134277,-8.451066017150879
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,-3.818967819213867,-6.3156023025512695,-12.514008522033691,-9.578191757202148
2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-8.521899223327637,-11.64680290222168,-11.875489234924316,-8.807376861572266
2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-2.8388543128967285,-4.929984092712402,-15.718674659729004,-12.346694946289062
2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-11.43288516998291,-16.285545349121094,-12.020387649536133,-7.86993408203125
2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,-15.47438907623291,-15.0,-12.604681015014648,-8.003573417663574
2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,-6.537205696105957,-9.434739112854004,-15.0,-9.912077903747559
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-8.81540584564209,-11.942779541015625,-11.513805389404297,-10.0
2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,-5.04551887512207,-7.631360054016113,-13.13377571105957,-9.842000007629395
2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,-6.148589134216309,-8.870413780212402,-12.907724380493164,-9.32217788696289
2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-11.089341163635254,-15.042776107788086,-11.145936965942383,-7.200056076049805
2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,-8.023274421691895,-11.123208999633789,-14.372570991516113,-11.11511516571045
2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-2.6337742805480957,-4.6498870849609375,-13.670808792114258,-10.95985221862793
2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,-11.174627304077148,-15.917802810668945,-12.443890571594238,-8.22873592376709
2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-2.829172372817993,-4.963414669036865,-13.363960266113281,-10.617721557617188
2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,-12.559210777282715,-16.389989852905273,-13.391258239746094,-9.014108657836914
2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,4.0,1.0,1.0,2.0,-11.683364868164062,-16.62383460998535,-11.645294189453125,-7.15235710144043
2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-8.320307731628418,-15.0,-11.765871047973633,-8.62966537475586
2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,-14.124720573425293,-18.337167739868164,-14.626008987426758,-9.218188285827637
2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,-3.497131824493408,-5.55200719833374,-15.319721221923828,-15.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,-12.412487983703613,-15.0,-11.810429573059082,-7.564169883728027
2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,-5.5315141677856445,-8.236557006835938,-12.2411527633667,-9.981230735778809
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-6.118283748626709,-8.680325508117676,-11.997840881347656,-9.161799430847168
2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,-5.031632900238037,-7.647252559661865,-14.050817489624023,-10.354990005493164
2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-15.0,-16.8529052734375,-11.950925827026367,-7.656950950622559
2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,-3.5884628295898438,-5.955761909484863,-11.987242698669434,-10.559584617614746
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,-7.169097900390625,-10.429437637329102,-12.1725492477417,-9.534289360046387
2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-13.76972484588623,-15.0,-13.682933807373047,-9.324810981750488
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,-10.54497241973877,-15.31062126159668,-12.323309898376465,-8.207869529724121
